name,company,price_before,discount,price_after,pack_size,availability,side_effects,primary_uses,description,generic_name,brand_names,diseases_treated
Erythrocin,Sanofi,324.2,20,259.36,30 tablets,Yes,"Blurred vision, anxiety",Neuropathic pain,Commonly used pain reliever and fever reducer.,Erythromycin,Erythrocin,Epilepsy
Fucidin,GSK,547.49,20,437.99,20 tablets,No,"Dry mouth, fatigue",Fever and pain relief,An antibiotic used to treat various infections.,Fusidic Acid,Fucidin,Hypertension
Glucophage,Martin Dow,344.92,10,310.43,10 tablets,No,"Dry mouth, fatigue",GERD,Antibiotic effective against anaerobic bacteria.,Metformin,Glucophage,Infections
Hydryllin,Abbott,319.52,20,255.62,30 tablets,Yes,"Dry mouth, fatigue",Motion sickness,An antibiotic used to treat various infections.,Aminophylline,Hydryllin,Hypertension
Isoptin,Bayer,750.01,5,712.51,10 tablets,No,"Stomach pain, rash",Neuropathic pain,Commonly used pain reliever and fever reducer.,Verapamil,Isoptin,Hypertension
Ketorolac,Sanofi,442.38,15,376.02,20 tablets,No,"Blurred vision, anxiety",Gastrointestinal infections,Commonly used pain reliever and fever reducer.,Ketorolac,Ketorolac,Asthma
Lorazepam,Abbott,446.54,5,424.21,20 tablets,Yes,"Stomach pain, rash",Bacterial infections,An antibiotic used to treat various infections.,Lorazepam,Lorazepam,Hypertension
Myteka,Abbott,182.05,10,163.85,30 tablets,Yes,"Insomnia, constipation",Gastrointestinal infections,Effective for treating nerve pain and seizures.,Montelukast,Myteka,Asthma
Norvasc,Getz Pharma,214.4,10,192.96,30 tablets,No,"Blurred vision, anxiety",Gastrointestinal infections,Reduces inflammation and pain in the body.,Amlodipine,Norvasc,Anxiety
Ornisid,Bayer,473.85,10,426.47,20 tablets,Yes,"Dry mouth, fatigue",GERD,An antibiotic used to treat various infections.,Ornidazole,Ornisid,Pain
Preterax,GSK,626.71,5,595.37,20 tablets,Yes,"Nausea, dizziness, headache",Hypertension,Commonly used pain reliever and fever reducer.,Indapamide,Preterax,Epilepsy
Questran,Martin Dow,693.08,5,658.43,10 tablets,No,"Insomnia, constipation",Fever and pain relief,Reduces inflammation and pain in the body.,Cholestyramine,Questran,Depression
Rabeprazole,Novartis,758.55,15,644.77,10 tablets,No,"Insomnia, constipation",Inflammation,Commonly used pain reliever and fever reducer.,Rabeprazole,Rabeprazole,Depression
Sertraline,Pfizer,192.57,5,182.94,20 tablets,No,"Nausea, dizziness, headache",Motion sickness,Effective for treating nerve pain and seizures.,Sertraline,Sertraline,Hypertension
Tegretol,Martin Dow,459.32,10,413.39,20 tablets,Yes,"Drowsiness, diarrhea",Bacterial infections,Commonly used pain reliever and fever reducer.,Carbamazepine,Tegretol,Diabetes
Ulsanic,Abbott,658.1,20,526.48,20 tablets,No,"Insomnia, constipation",Fever and pain relief,Effective for treating nerve pain and seizures.,Sucralfate,Ulsanic,Infections
Voltaren,Bayer,712.94,5,677.29,10 tablets,No,"Stomach pain, rash",Diabetes,An antibiotic used to treat various infections.,Diclofenac,Voltaren,Pain
Warfarin,Getz Pharma,212.48,20,169.98,10 tablets,Yes,"Stomach pain, rash",Fever and pain relief,Effective for treating nerve pain and seizures.,Warfarin,Warfarin,Depression
Xalatan,Bayer,480.78,5,456.74,30 tablets,Yes,"Blurred vision, anxiety",Fever and pain relief,Effective for treating nerve pain and seizures.,Latanoprost,Xalatan,Asthma
Yaz,GSK,258.81,20,207.05,10 tablets,No,"Blurred vision, anxiety",Diabetes,Antibiotic effective against anaerobic bacteria.,Drospirenone,Yaz,Pain
Zanidip,Getz Pharma,680.44,15,578.37,10 tablets,No,"Blurred vision, anxiety",Diabetes,An antibiotic used to treat various infections.,Lercanidipine,Zanidip,Infections
